frame,car,bike,auto,bus,truck,total,weighted
0,3,0,0,0,0,3,3.0
60,4,0,0,0,0,4,4.0
120,5,3,0,0,0,8,6.5
180,5,4,0,0,0,9,7.0
240,5,11,0,0,0,16,10.5
300,6,12,0,0,0,18,12.0
360,10,8,0,0,1,19,16.5
420,6,7,0,1,1,15,15.0
480,7,6,0,1,1,15,15.5
540,7,1,0,1,4,13,20.5
600,10,3,2,1,2,18,21.1
660,8,6,0,1,0,15,14.0
720,4,6,0,2,1,13,15.5
780,9,5,0,2,0,16,17.5
840,8,5,0,2,0,15,16.5
900,9,5,0,0,2,16,16.5
960,7,2,1,0,2,12,13.8
1020,3,6,2,0,3,14,15.1
1080,4,4,0,1,3,12,16.5
1140,7,4,1,1,2,15,17.8
1200,6,3,0,0,1,10,10.0
1260,8,0,1,0,2,11,13.8
1320,8,2,1,0,0,11,9.8
1380,5,6,3,0,1,15,12.9
1440,4,5,1,0,1,11,9.8
1500,4,3,3,0,2,12,12.9
1560,6,1,1,0,1,9,9.8
1620,7,1,0,0,0,8,7.5
1680,2,1,2,0,0,5,4.1
1740,3,0,1,0,0,4,3.8
1800,4,2,0,0,1,7,7.5
1860,2,0,0,0,0,2,2.0
1920,4,2,0,0,0,6,5.0
1980,4,5,0,0,0,9,6.5
2040,5,9,0,0,0,14,9.5
2100,4,6,0,0,0,10,7.0
2160,3,13,0,0,0,16,9.5
2220,1,9,0,0,1,11,8.0
2280,6,5,1,0,0,12,9.3
2340,3,4,1,0,1,9,8.3
2400,2,4,2,0,2,10,10.6
2460,3,8,0,0,1,12,9.5
2520,5,7,0,0,3,15,16.0
2580,4,5,0,0,1,10,9.0
2640,5,2,0,0,2,9,11.0
2700,6,2,0,0,1,9,9.5
2760,2,2,0,0,2,6,8.0
2820,0,1,0,0,3,4,8.0
2880,1,0,0,0,2,3,6.0
2940,3,0,0,0,0,3,3.0
3000,3,1,0,1,0,5,6.5
3060,1,0,0,0,0,1,1.0
3120,3,0,0,0,0,3,3.0
3180,2,0,0,0,0,2,2.0
3240,3,1,0,0,0,4,3.5
3300,1,0,0,0,0,1,1.0
3360,1,1,0,0,0,2,1.5
3420,4,2,0,0,0,6,5.0
3480,2,4,0,0,0,6,4.0
3540,2,6,0,0,0,8,5.0
3600,2,6,0,0,0,8,5.0
3660,2,6,0,0,0,8,5.0
3720,2,3,0,0,1,6,6.0
3780,2,5,0,0,0,7,4.5
3840,4,2,1,0,3,10,13.3
3900,3,2,0,1,0,6,7.0
3960,2,2,0,1,1,6,8.5
4020,0,1,0,0,2,3,5.5
4080,2,4,0,0,1,7,6.5
4140,4,2,0,0,1,7,7.5
4200,4,2,0,0,1,7,7.5
4260,4,3,0,0,2,9,10.5
4320,3,4,0,0,0,7,5.0
4380,3,2,0,0,0,5,4.0
4440,6,2,0,0,1,9,9.5
4500,4,4,0,0,0,8,6.0
4560,8,1,0,0,0,9,8.5
4620,5,1,0,0,1,7,8.0
4680,6,3,0,0,0,9,7.5
4740,4,3,0,0,0,7,5.5
4800,4,1,0,0,1,6,7.0
4860,4,1,0,0,0,5,4.5
4920,5,2,0,0,0,7,6.0
4980,1,1,0,0,0,2,1.5
5040,2,1,0,0,0,3,2.5
5100,4,4,0,0,0,8,6.0
5160,3,6,0,0,0,9,6.0
5220,3,3,0,0,0,6,4.5
5280,2,4,0,0,0,6,4.0
5340,2,3,0,0,1,6,6.0
5400,2,1,0,0,0,3,2.5
5460,3,3,0,0,0,6,4.5
5520,2,5,0,0,0,7,4.5
5580,2,2,0,0,0,4,3.0
5640,2,2,0,0,0,4,3.0
5700,2,3,0,0,0,5,3.5
5760,2,3,0,0,0,5,3.5
5820,3,3,0,0,0,6,4.5
5880,4,1,0,0,1,6,7.0
5940,2,1,0,0,0,3,2.5
6000,1,1,0,0,0,2,1.5
6060,2,1,0,0,1,4,5.0
6120,4,2,0,0,1,7,7.5
6180,4,2,0,0,1,7,7.5
6240,3,2,0,0,1,6,6.5
6300,7,2,1,0,1,11,11.3
6360,7,1,0,0,0,8,7.5
6420,5,3,0,0,1,9,9.0
6480,4,3,0,0,0,7,5.5
6540,2,4,0,0,1,7,6.5
6600,3,4,0,0,0,7,5.0
6660,4,7,0,0,0,11,7.5
6720,5,11,0,1,0,17,13.5
6780,7,10,0,0,1,18,14.5
6840,9,9,0,1,0,19,16.5
6900,6,8,0,0,0,14,10.0
6960,9,6,0,1,0,16,15.0
7020,8,9,0,1,0,18,15.5
7080,9,5,0,1,0,15,14.5
7140,4,3,0,3,1,11,17.0
7200,3,3,0,3,1,10,16.0
7260,8,3,0,2,0,13,15.5
7320,8,1,0,3,0,12,17.5
7380,7,2,0,1,0,10,11.0
7440,6,3,1,1,0,11,11.3
7500,10,4,0,1,0,15,15.0
7560,10,1,0,1,2,14,18.5
7620,8,4,0,2,2,16,21.0
7680,9,5,0,0,0,14,11.5
7740,8,3,0,0,0,11,9.5
7800,7,3,0,0,1,11,11.0
7860,4,5,0,0,1,10,9.0
7920,6,4,0,0,0,10,8.0
7980,6,3,0,0,1,10,10.0
8040,5,2,0,0,1,8,8.5
8100,4,4,0,0,0,8,6.0
8160,6,3,2,0,0,11,9.1
8220,3,2,0,0,0,5,4.0
8280,4,6,0,0,1,11,9.5
